Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2019-08-25,6.7134,6.7134,6.7134,6.7134,6.7134,3.13292,6.29056,13.37968,17.65263,16.08894,15.28643,5.99456,6.37617,20.5952,19.68667,2.16644,2.27616,11.55906,12.7392,14.09418,17.44802,8.16628,6.7134,6.7134
2019-08-26,4.2858,2.64291,,,,,1.00738,8.5322,25.79363,47.4303,42.14452,25.34643,15.64274,26.24295,20.37524,20.55063,24.4098,19.49879,12.53251,24.36566,31.1268,17.14079,7.15182,9.10471
2019-08-27,9.9402,6.8301,5.4972,5.4972,0.54972,,2.002,15.7632,16.26436,20.46179,17.21855,18.79118,27.6292,32.36615,27.61409,12.80392,16.10416,20.88523,17.09514,25.26107,14.43798,10.97344,8.9035,9.9402
2019-08-28,,,,,,,0.7767,6.55067,10.1346,16.17869,7.41081,15.87613,20.48149,20.4517,31.74979,24.69009,14.45103,16.96467,28.42777,24.67046,14.55846,7.5018,1.03985,
2019-08-29,0.10576,,,,,,0.1117,8.69261,8.92079,13.46215,21.61396,28.02626,19.27376,19.01933,23.36525,15.14897,14.51766,6.48685,5.7729,9.5364,1.11384,,,3.49008
2019-08-30,8.3506,6.714,4.3641,,,2.73438,5.54008,7.6581,6.31352,9.70058,8.53081,6.57894,11.65803,20.42564,16.23751,15.53975,9.73171,13.57183,29.35492,35.39346,30.34504,25.71966,21.5154,14.42254
2019-08-31,,,,,,,,3.86802,11.56124,12.66852,21.22747,15.3041,23.77266,39.11415,30.81781,20.41774,23.28973,16.01593,24.57186,31.98338,24.87125,18.79454,6.37884,5.24524
2019-09-01,,,,,,,,,0.05617,6.50802,12.26597,10.25056,6.2193,6.39086,16.08528,19.99664,11.23575,11.44572,5.43488,10.70285,8.99789,2.37291,,
2019-09-02,,,,,,,,2.3122,6.306,9.19467,21.03491,20.77007,12.74223,18.55296,20.20076,11.81558,12.9352,15.71509,16.7955,15.11586,7.98339,5.94339,,
2019-09-03,,,,,,,0.4872,5.3463,16.85241,36.18642,34.82335,37.54097,32.30067,21.24585,18.49042,11.97104,8.83484,10.3326,14.63445,15.17917,7.46592,2.41618,,
